id,cumulativeResults,cumulativeResultsLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,groupAllocations,groupAllocationsLastChangedAt,introDone,introDoneLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,score,scoreLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,tutorialChoice,tutorialChoiceLastChangedAt,urlParams,urlParamsLastChangedAt
01KCN236K1CT7SC1EANF05QVKA,"{""Trinity College Dublin"":{""success"":13,""failures"":3},""The University of Western Australia"":{""success"":1,""failures"":2},""University of Glasgow"":{""success"":8,""failures"":2},""Heidelberg University"":{""success"":1,""failures"":2},""University of Adelaide"":{""success"":1,""failures"":2},""University of Leeds"":{""success"":13,""failures"":2},""University of Southampton"":{""success"":1,""failures"":2},""University of Sheffield"":{""success"":1,""failures"":2},""University of Nottingham"":{""success"":1,""failures"":2},""Karlsruhe Institute of Technology"":{""success"":1,""failures"":2}}",2025-12-17T02:55:18.94289974Z,game ended,2025-12-17T02:57:59.691057915Z,,,,,01KCN1YK5PC0MSHG85VCJC6M8X,2025-12-17T02:26:43.948632245Z,"{""University of Leeds"":44,""Trinity College Dublin"":34,""University of Glasgow"":22}",2025-12-17T02:57:59.570253951Z,true,2025-12-17T02:27:31.272181383Z,01KCN2368E8ZAB66B302CN8ZDE,2025-12-17T02:26:43.937969594Z,355E4343A8D246D99655FDAC769AD74B,2025-12-17T02:26:43.937969594Z,31,2025-12-17T02:55:18.94289974Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:26:43.948632245Z,Standard-non-communication,2025-12-17T02:26:43.948632245Z,Heidelberg University,2025-12-17T02:30:23.912621233Z,"{""participantId"":""355E4343A8D246D99655FDAC769AD74B"",""assignmentId"":""019b2a20-78f6-7780-9b58-cd5ac54195a0"",""projectId"":""019b2a1e-b81e-7eae-ad89-6a5c41939bd2""}",2025-12-17T02:26:44.110578888Z
01KCN23KYW0XS746YWWSHMC7CT,"{""Trinity College Dublin"":{""success"":4,""failures"":2},""The University of Western Australia"":{""success"":1,""failures"":1},""University of Glasgow"":{""success"":9,""failures"":5},""Heidelberg University"":{""success"":1,""failures"":1},""University of Adelaide"":{""success"":1,""failures"":2},""University of Leeds"":{""success"":27,""failures"":4},""University of Southampton"":{""success"":1,""failures"":1},""University of Sheffield"":{""success"":1,""failures"":2},""University of Nottingham"":{""success"":4,""failures"":2},""Karlsruhe Institute of Technology"":{""success"":1,""failures"":1}}",2025-12-17T02:55:18.94289974Z,game ended,2025-12-17T02:57:59.691057915Z,true,2025-12-17T03:00:34.675069657Z,"{""age"":34,""gender"":""Female"",""genderOther"":"""",""race"":""Latin/x"",""raceOther"":"""",""education"":""Graduate Professional School"",""educationOther"":"""",""country"":""united states"",""politicalOrientation"":""Slightly Liberal"",""experience"":""No"",""engagement"":""Very Engaging"",""clearity"":""Very Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""the proven probability of success"",""strategy"":""allocated more to the ones that i knew had better odds"",""motivation"":""interested to contribute to science"",""followUp"":""Yes"",""additionalFeedback"":"""",""experienceDetails"":"""",""familiarityUniversities"":[""None of the above""],""employmentStatus"":""Employed full-time"",""employmentStatusOther"":"""",""hiringInvolved"":""Yes"",""hiringExperienceYears"":""4–6 years""}",2025-12-17T03:00:34.67891059Z,01KCN1YK5PC0MSHG85VCJC6M8X,2025-12-17T02:26:57.63820137Z,"{""University of Leeds"":77,""Trinity College Dublin"":4,""University of Glasgow"":14,""University of Nottingham"":5}",2025-12-17T02:56:07.121109752Z,true,2025-12-17T02:27:31.674200958Z,01KCN23KS3F68ZX38T3C3GH9V1,2025-12-17T02:26:57.628732398Z,FF854281668C48FAA54A34EB2E297580,2025-12-17T02:26:57.628732398Z,40,2025-12-17T02:55:11.330434343Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:26:57.63820137Z,Standard-non-communication,2025-12-17T02:26:57.63820137Z,University of Adelaide,2025-12-17T02:30:23.912621233Z,"{""participantId"":""FF854281668C48FAA54A34EB2E297580"",""assignmentId"":""019b2a20-e53b-7b3f-b094-5fd61c7f7fac"",""projectId"":""019b29d7-b001-7b5a-8359-6c08aba6a30a""}",2025-12-17T02:26:57.74327069Z
01KCN24FY7H297W6MWCQEBZ65E,"{""Trinity College Dublin"":{""success"":3,""failures"":1},""The University of Western Australia"":{""success"":2,""failures"":2},""University of Glasgow"":{""success"":1,""failures"":2},""Heidelberg University"":{""success"":1,""failures"":2},""University of Adelaide"":{""success"":2,""failures"":1},""University of Leeds"":{""success"":40,""failures"":2},""University of Southampton"":{""success"":1,""failures"":2},""University of Sheffield"":{""success"":1,""failures"":2},""University of Nottingham"":{""success"":1,""failures"":2},""Karlsruhe Institute of Technology"":{""success"":1,""failures"":2}}",2025-12-17T02:55:18.94289974Z,game ended,2025-12-17T02:57:59.691057915Z,true,2025-12-17T03:01:14.097663427Z,"{""age"":43,""gender"":""Male"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""College"",""educationOther"":"""",""country"":""USA/CALIFORNIA "",""politicalOrientation"":""Slightly Liberal"",""experience"":""No"",""engagement"":""Very Engaging"",""clearity"":""Very Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""THE SUCCESS RATE OF EACH PICK HELPED TO PICK THE NEXT ONE"",""strategy"":""ONCE I SAW A PATTERN OF SUCCESS BY PICKING VARIOUS COLLEGES TILL I GOT A SUCCESSFUL ONE, THEN  I STARTED TO PICK THE SAME COLLEGE FOR THE MAX BONUS POSSIBLE."",""motivation"":""THE POSSIBLITY OF A BONUS AND THE MONEY"",""followUp"":""Yes"",""additionalFeedback"":""THIS WAS FUN! THANKS!"",""experienceDetails"":"""",""familiarityUniversities"":[""Trinity College Dublin"",""University of Glasgow"",""University of Adelaide"",""University of Leeds"",""University of Southampton"",""University of Sheffield"",""University of Nottingham""],""employmentStatus"":""Employed full-time"",""employmentStatusOther"":"""",""hiringInvolved"":""Yes"",""hiringExperienceYears"":""7+ years""}",2025-12-17T03:01:14.077512943Z,01KCN1YK5PC0MSHG85VCJC6M8X,2025-12-17T02:27:26.287293035Z,"{""University of Leeds"":100}",2025-12-17T02:55:53.153101337Z,true,2025-12-17T02:28:40.821560157Z,01KCN24FMS36RG80K6HV0X0F2F,2025-12-17T02:27:26.279210079Z,F9CF7F6F777F499A9D99B9C3DDCE735A,2025-12-17T02:27:26.279210079Z,43,2025-12-17T02:55:18.94289974Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:27:26.287293035Z,Standard-non-communication,2025-12-17T02:27:26.287293035Z,University of Leeds,2025-12-17T02:30:23.912621233Z,"{""participantId"":""F9CF7F6F777F499A9D99B9C3DDCE735A"",""assignmentId"":""019b2a21-9175-711a-b1e1-b8cee7137ad4"",""projectId"":""019b29f9-24f3-7cac-9ccd-5e3f139a0c7b""}",2025-12-17T02:27:26.506352314Z
01KCN258W21CD08158TVTAHTAS,,,game terminated,2025-12-17T02:40:03.423832231Z,,,,,01KCN2DQGAPY60A7R6EH4M8652,2025-12-17T02:32:30.412907927Z,,,,,01KCN258CSWT8D5ECN5SWZB43Y,2025-12-17T02:27:51.810098423Z,8F0DEA30918646299340E0018A729C96,2025-12-17T02:27:51.810098423Z,,,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:27:51.818898869Z,Standard-non-communication,2025-12-17T02:27:51.818898869Z,,,"{""participantId"":""8F0DEA30918646299340E0018A729C96"",""assignmentId"":""019b2a22-152c-77e2-a40a-4cef2d21246a"",""projectId"":""019b2a1e-b81e-7eae-ad89-6a5c41939bd2""}",2025-12-17T02:27:52.015390594Z
01KCN26A5D6APR85382KEMWXRV,,,game terminated,2025-12-17T02:40:03.423832231Z,,,,,01KCN2DQGAPY60A7R6EH4M8652,2025-12-17T02:32:30.412907927Z,,,true,2025-12-17T02:33:10.007440293Z,01KCN269X62E87DZAS5VTKHH2C,2025-12-17T02:28:25.901221654Z,50E9AF8B80ED40E28D6921044B0E95B4,2025-12-17T02:28:25.901221654Z,,,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:28:25.912002055Z,Standard-non-communication,2025-12-17T02:28:25.912002055Z,,,"{""participantId"":""50E9AF8B80ED40E28D6921044B0E95B4"",""assignmentId"":""019b2a22-80cb-74cb-9de1-664fb404e7e2"",""projectId"":""019b2a1e-b81e-7eae-ad89-6a5c41939bd2""}",2025-12-17T02:28:26.12769413Z
01KCN26J8F6HCD0C0FACQQESYD,"{""Trinity College Dublin"":{""success"":16,""failures"":4},""The University of Western Australia"":{""success"":1,""failures"":2},""University of Glasgow"":{""success"":11,""failures"":3},""Heidelberg University"":{""success"":1,""failures"":3},""University of Adelaide"":{""success"":6,""failures"":3},""University of Leeds"":{""success"":4,""failures"":2},""University of Southampton"":{""success"":1,""failures"":2},""University of Sheffield"":{""success"":1,""failures"":2},""University of Nottingham"":{""success"":3,""failures"":3},""Karlsruhe Institute of Technology"":{""success"":1,""failures"":2}}",2025-12-17T02:55:18.94289974Z,game ended,2025-12-17T02:57:59.691057915Z,true,2025-12-17T03:00:35.518771862Z,"{""age"":40,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""High School"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Slightly Liberal"",""experience"":""No"",""engagement"":""Engaging"",""clearity"":""Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""the success rate of the colleges."",""strategy"":""i picked randomly to start and i would mostly stick with a college until it failed, then move to the next."",""motivation"":""It was available and looked interesting"",""followUp"":""Yes"",""additionalFeedback"":"""",""experienceDetails"":"""",""familiarityUniversities"":[""University of Adelaide"",""University of Leeds"",""University of Glasgow""],""employmentStatus"":""Employed full-time"",""employmentStatusOther"":"""",""hiringInvolved"":""Yes"",""hiringExperienceYears"":""7+ years""}",2025-12-17T03:00:35.516464427Z,01KCN1YK5PC0MSHG85VCJC6M8X,2025-12-17T02:28:34.201327521Z,"{""Trinity College Dublin"":50,""University of Glasgow"":25,""University of Adelaide"":15,""University of Leeds"":10}",2025-12-17T02:56:14.94629493Z,true,2025-12-17T02:29:11.366574029Z,01KCN26HZJC1T750AAJCYY0162,2025-12-17T02:28:34.191194052Z,9255B5EDC2334D68A2EB460FB50BD6AD,2025-12-17T02:28:34.191194052Z,35,2025-12-17T02:55:18.94289974Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:28:34.201327521Z,Standard-non-communication,2025-12-17T02:28:34.201327521Z,University of Southampton,2025-12-17T02:30:23.912621233Z,"{""participantId"":""9255B5EDC2334D68A2EB460FB50BD6AD"",""assignmentId"":""019b2a22-d6d8-7704-884b-f718d59cb6e8"",""projectId"":""019b2a1e-b81e-7eae-ad89-6a5c41939bd2""}",2025-12-17T02:28:34.382022371Z
01KCN21SP6RE5QGR35D21ZK1K9,"{""Trinity College Dublin"":{""success"":1,""failures"":1},""The University of Western Australia"":{""success"":7,""failures"":6},""University of Glasgow"":{""success"":1,""failures"":1},""Heidelberg University"":{""success"":1,""failures"":1},""University of Adelaide"":{""success"":1,""failures"":1},""University of Leeds"":{""success"":1,""failures"":1},""University of Southampton"":{""success"":1,""failures"":1},""University of Sheffield"":{""success"":1,""failures"":1},""University of Nottingham"":{""success"":15,""failures"":7},""Karlsruhe Institute of Technology"":{""success"":1,""failures"":2}}",2025-12-17T02:55:18.94289974Z,game ended,2025-12-17T02:57:59.691057915Z,true,2025-12-17T03:03:56.024767518Z,"{""age"":66,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""High School"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Extremely Conservative"",""experience"":""No"",""engagement"":""Very Engaging"",""clearity"":""Very Clear"",""interference"":""disconnection"",""interferenceOption"":""Yes"",""keyFactors"":""positive results"",""strategy"":""keep the score up"",""motivation"":""fun task"",""followUp"":""Yes"",""additionalFeedback"":"""",""experienceDetails"":"""",""familiarityUniversities"":[""None of the above""],""employmentStatus"":""Unemployed"",""employmentStatusOther"":"""",""hiringInvolved"":""No"",""hiringExperienceYears"":""""}",2025-12-17T03:03:56.027575874Z,01KCN1YK5PC0MSHG85VCJC6M8X,2025-12-17T02:25:57.96723813Z,"{""The University of Western Australia"":30,""University of Nottingham"":70}",2025-12-17T02:57:07.18389662Z,true,2025-12-17T02:28:07.151918307Z,01KCN21SH5W6DEW5PQE2C64SA0,2025-12-17T02:25:57.958153204Z,33EA8481033D40D085A8FA4AF8B0ED69,2025-12-17T02:25:57.958153204Z,20,2025-12-17T02:55:18.94289974Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:25:57.96723813Z,Standard-non-communication,2025-12-17T02:25:57.96723813Z,The University of Western Australia,2025-12-17T02:30:23.912621233Z,"{""participantId"":""33EA8481033D40D085A8FA4AF8B0ED69"",""assignmentId"":""019b2a20-43b2-751b-8075-e8a11ad3069f"",""projectId"":""019b29f9-24f3-7cac-9ccd-5e3f139a0c7b""}",2025-12-17T02:25:58.126604404Z
01KCN29J4FW7ZZ02RP5EAMPR8T,,,game terminated,2025-12-17T02:40:03.423832231Z,,,,,01KCN2DQGAPY60A7R6EH4M8652,2025-12-17T02:32:30.412907927Z,,,,,01KCN29HX63T0FPC237Y0S74J4,2025-12-17T02:30:12.36800455Z,D4EB63DC91E94C7C97E09F5CF6DD9C15,2025-12-17T02:30:12.36800455Z,,,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:30:12.378466262Z,Standard-non-communication,2025-12-17T02:30:12.378466262Z,,,"{""participantId"":""D4EB63DC91E94C7C97E09F5CF6DD9C15"",""assignmentId"":""019b2a22-e1eb-78ef-aebf-1a63f903d1da"",""projectId"":""019b2a21-8be0-7129-a6a2-7177f0b2de74""}",2025-12-17T02:30:12.495955118Z
01KCN27WMVZR4D3WST6BYK4CWY,"{""Trinity College Dublin"":{""success"":16,""failures"":1},""The University of Western Australia"":{""success"":1,""failures"":2},""University of Glasgow"":{""success"":3,""failures"":2},""Heidelberg University"":{""success"":1,""failures"":3},""University of Adelaide"":{""success"":1,""failures"":2},""University of Leeds"":{""success"":18,""failures"":1},""University of Southampton"":{""success"":3,""failures"":3},""University of Sheffield"":{""success"":2,""failures"":2},""University of Nottingham"":{""success"":4,""failures"":2},""Karlsruhe Institute of Technology"":{""success"":1,""failures"":2}}",2025-12-17T02:55:18.94289974Z,game ended,2025-12-17T02:57:59.691057915Z,true,2025-12-17T03:02:31.534021781Z,"{""age"":66,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""College"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Moderately Liberal"",""experience"":""No"",""engagement"":""Very Engaging"",""clearity"":""Very Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Just like I state above, I kept track of how many successes I was getting in ratio to failures and when the failure rate was over the success rate or even at the same point, I stopped."",""strategy"":""I gave each university a shot at it.  When I saw that I was getting more failures than successes, I stopped allocating any to that university.  When I saw that I was getting more of a success rate, I kept going."",""motivation"":""I wanted to see how many bonus points I could get."",""followUp"":""Yes"",""additionalFeedback"":""I enjoyed doing this."",""experienceDetails"":"""",""familiarityUniversities"":[""Trinity College Dublin"",""University of Glasgow"",""Heidelberg University"",""University of Southampton"",""University of Nottingham"",""University of Sheffield""],""employmentStatus"":""Employed part-time"",""employmentStatusOther"":"""",""hiringInvolved"":""No"",""hiringExperienceYears"":""""}",2025-12-17T03:02:31.53574146Z,01KCN1YK5PC0MSHG85VCJC6M8X,2025-12-17T02:29:17.603262514Z,"{""Trinity College Dublin"":42,""University of Leeds"":42,""University of Glasgow"":4,""The University of Western Australia"":1,""University of Southampton"":1,""University of Nottingham"":5,""Karlsruhe Institute of Technology"":1,""Heidelberg University"":1,""University of Sheffield"":2,""University of Adelaide"":1}",2025-12-17T02:57:16.087890683Z,true,2025-12-17T02:30:23.755876717Z,01KCN27WEGJ9GHAMWXZY4X3C8Z,2025-12-17T02:29:17.595547479Z,6CD36AE80CAC411BAC6609488CAB2F25,2025-12-17T02:29:17.595547479Z,40,2025-12-17T02:55:18.94289974Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:29:17.603262514Z,Standard-non-communication,2025-12-17T02:29:17.603262514Z,Karlsruhe Institute of Technology,2025-12-17T02:30:23.912621233Z,"{""participantId"":""6CD36AE80CAC411BAC6609488CAB2F25"",""assignmentId"":""019b2a22-e14e-7293-9f3d-dc8430298c61"",""projectId"":""019b2a1e-b81e-7eae-ad89-6a5c41939bd2""}",2025-12-17T02:29:17.738462713Z
01KCN27YWJVD567GHCY1H4MDY8,,,game terminated,2025-12-17T02:40:03.423832231Z,,,,,01KCN2DQGAPY60A7R6EH4M8652,2025-12-17T02:32:30.412907927Z,,,,,01KCN27YNZEMW01341F532AZ8R,2025-12-17T02:29:19.890896074Z,0B7EA3BD810140FCA3ACD39A85FC2352,2025-12-17T02:29:19.890896074Z,,,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-12-17T02:29:19.900878261Z,Standard-non-communication,2025-12-17T02:29:19.900878261Z,,,"{""participantId"":""0B7EA3BD810140FCA3ACD39A85FC2352"",""assignmentId"":""019b2a23-9a93-7e29-9a0d-965345830194"",""projectId"":""019b29f9-24f3-7cac-9ccd-5e3f139a0c7b""}",2025-12-17T02:29:20.138684209Z
